"","p4","p26","p3_1","p3_4","p8_1","p5","p32","edad"
"1",1,30,1,2,2,4,0,48
"2",0,10,2,2,0,0,0,41
"3",0,0,2,2,0,0,3,55
"4",2,20,1,2,2,4,0,55
"5",2,20,1,2,2,4,0,60
"6",0,30,2,2,0,0,0,48
"7",0,20,2,2,0,0,0,67
"8",0,10,2,2,0,0,0,40
"9",0,0,2,2,0,0,3,43
"10",1,60,1,2,2,4,0,68
"11",0,30,2,2,0,0,0,46
"12",0,10,2,2,0,0,0,52
"13",2,30,1,2,2,3,0,51
"14",2,30,1,2,2,4,0,71
"15",0,0,2,2,0,0,3,54
"16",0,15,2,2,0,0,0,24
"17",0,15,2,2,0,0,0,31
"18",0,0,2,2,0,0,3,57
"19",0,15,2,2,0,0,0,28
"20",0,0,2,2,0,0,3,32
"21",0,0,2,2,0,0,2,38
"22",3,30,1,2,2,4,0,42
"23",0,0,2,2,0,0,3,70
"24",0,10,2,2,0,0,0,46
"25",0,0,2,2,0,0,2,46
"26",3,30,1,2,2,4,0,19
"27",0,15,2,2,0,0,0,41
"28",4,30,1,2,2,2,0,22
"29",0,0,2,2,0,0,2,30
"30",0,0,2,2,0,0,3,50
"31",2,30,1,2,2,4,0,67
"32",0,0,2,2,0,0,3,18
"33",1,60,1,2,2,4,0,52
"34",0,10,2,2,0,0,0,42
"35",0,0,2,2,0,0,3,39
"36",0,10,2,2,0,0,0,36
"37",0,15,2,2,0,0,0,20
"38",0,0,2,2,0,0,3,47
"39",0,10,2,2,0,0,0,35
"40",0,10,2,2,0,0,0,46
"41",4,30,1,2,2,2,0,18
"42",0,20,2,2,0,0,0,44
"43",0,0,2,2,0,0,3,35
"44",0,15,2,2,0,0,0,24
"45",0,0,2,2,0,0,1,38
"46",3,30,1,2,2,4,0,19
"47",0,0,2,2,0,0,3,39
"48",1,60,1,2,2,3,0,49
"49",0,0,2,2,0,0,3,28
"50",0,30,2,1,0,0,0,40
"51",0,10,2,2,0,0,0,43
"52",0,20,2,1,0,0,0,43
"53",0,0,2,2,0,0,2,91
"54",0,15,2,2,0,0,0,31
"55",0,0,2,2,0,0,1,34
"56",0,30,2,2,0,0,0,42
"57",1,20,1,2,2,4,0,44
"58",0,0,2,2,0,0,1,37
"59",2,30,1,2,2,1,0,36
"60",0,0,2,2,0,0,1,52
"61",0,30,2,2,0,0,0,57
"62",2,60,1,2,2,4,0,61
"63",0,60,2,2,0,0,0,40
"64",0,30,2,2,0,0,0,49
"65",0,20,2,2,0,0,0,33
"66",3,60,1,2,2,3,0,72
"67",1,20,1,2,2,3,0,68
"68",1,60,1,2,1,3,0,63
"69",0,15,2,2,0,0,0,37
"70",1,25,1,2,2,4,0,28
"71",0,0,2,2,0,0,5,78
"72",4,60,1,2,2,4,0,59
"73",0,30,2,2,0,0,0,64
"74",2,60,1,2,2,2,0,21
"75",0,0,2,2,0,0,4,23
"76",0,25,2,2,0,0,0,30
"77",0,30,2,2,0,0,0,66
