"","p4","p26","p3_4","p8_1","p19","p32","edad"
"1",0,15,2,0,0,0,40
"2",0,0,2,0,0,2,43
"3",0,20,2,0,0,0,27
"4",0,20,2,0,3,0,68
"5",0,0,2,0,0,3,56
"6",0,0,2,0,0,2,44
"7",0,0,2,0,0,3,46
"8",0,0,2,0,0,3,49
"9",1,60,2,2,0,0,22
"10",3,120,2,2,0,0,19
"11",2,30,2,2,0,0,46
"12",5,45,2,2,2,0,44
"13",4,90,2,2,2,0,69
"14",0,60,2,0,0,0,41
"15",0,15,2,0,2,0,38
"16",0,60,2,0,0,0,39
"17",0,0,2,0,0,3,61
"18",2,30,2,1,0,0,56
"19",0,0,2,0,0,2,62
"20",0,0,2,0,0,3,55
"21",0,15,2,0,0,0,25
"22",0,20,2,0,0,0,32
"23",4,40,2,1,0,0,20
"24",4,60,2,1,0,0,39
"25",3,30,2,2,0,0,50
"26",0,20,2,0,0,0,41
"27",0,30,2,0,0,0,31
"28",0,0,2,0,0,3,48
"29",0,10,2,0,2,0,31
"30",0,0,2,0,0,3,46
"31",3,40,2,1,0,0,43
"32",0,0,2,0,0,5,71
"33",0,0,2,0,0,3,47
"34",0,0,2,0,0,3,42
"35",3,30,2,2,0,0,20
"36",0,0,2,0,0,2,31
"37",4,30,2,2,0,0,23
"38",0,15,2,0,2,0,51
"39",1,20,2,1,0,0,50
"40",0,15,2,0,0,0,34
"41",0,0,2,0,0,3,54
"42",0,0,2,0,0,3,36
"43",0,0,2,0,0,3,47
"44",1,40,2,1,0,0,19
"45",0,0,2,0,0,2,28
"46",0,30,2,0,3,0,50
"47",0,0,2,0,0,3,40
"48",0,30,2,0,0,0,26
"49",0,0,2,0,0,1,43
"50",0,30,2,0,2,0,25
"51",5,60,2,2,0,0,31
"52",3,30,2,2,0,0,45
"53",0,0,2,0,0,3,44
"54",0,15,2,0,0,0,34
"55",6,20,2,1,0,0,41
"56",0,20,2,0,0,0,26
"57",0,0,2,0,0,3,40
"58",0,0,2,0,0,1,36
"59",2,60,2,2,0,0,92
"60",0,20,1,0,0,0,44
"61",0,0,2,0,0,5,32
"62",0,0,2,0,0,3,45
"63",2,60,2,2,0,0,20
"64",0,0,2,0,0,3,24
"65",0,0,2,0,0,2,67
"66",0,60,2,0,3,0,41
"67",0,0,0,0,0,0,50
"68",0,30,2,0,3,0,52
"69",0,60,2,0,1,0,64
"70",0,30,2,0,3,0,69
"71",3,180,2,2,1,0,73
"72",3,40,2,2,0,0,33
"73",1,25,2,1,0,0,22
"74",0,0,0,0,0,0,36
"75",10,15,2,2,0,0,59
"76",0,0,2,0,0,1,59
"77",0,5,2,0,3,0,50
"78",2,20,1,2,0,0,35
"79",1,20,2,2,0,0,35
"80",0,0,2,0,0,3,27
"81",0,0,2,0,0,3,31
"82",0,0,2,0,0,3,25
"83",2,20,2,2,3,0,33
"84",0,10,2,0,3,0,67
"85",1,30,2,1,0,0,39
"86",0,0,2,0,0,5,70
"87",1,30,2,2,0,0,68
"88",0,0,2,0,0,1,31
"89",2,30,2,1,0,0,40
"90",0,25,2,0,2,0,51
"91",0,30,2,0,0,0,31
"92",0,30,2,0,0,0,29
"93",0,30,2,0,0,0,32
"94",0,25,2,0,0,0,52
