"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"1",0,20,2,2,0,0,0
"2",0,0,2,2,0,0,1
"3",0,15,2,2,0,0,0
"4",0,20,2,2,0,0,0
"5",0,20,2,2,0,0,0
"6",0,0,2,2,0,0,1
"7",0,0,2,2,0,0,3
"8",0,0,2,2,0,0,5
"9",3,20,1,2,2,4,0
"10",0,60,2,2,0,0,0
"11",1,20,1,2,2,4,0
"12",4,30,1,2,1,2,0
"13",0,40,2,2,0,0,0
"14",0,0,2,2,0,0,3
"15",0,40,2,2,0,0,0
"16",1,90,1,2,2,1,0
"17",0,20,2,2,0,0,0
"18",0,0,2,2,0,0,3
"19",0,15,2,2,0,0,0
"20",2,30,1,2,1,4,0
"21",0,20,2,2,0,0,0
"22",0,0,2,2,0,0,3
"23",0,0,2,2,0,0,3
"24",0,15,2,2,0,0,0
"25",4,50,1,2,1,3,0
"26",2,30,1,2,1,4,0
"27",2,30,1,2,1,4,0
"28",2,20,1,2,2,4,0
"29",0,0,2,2,0,0,3
"30",0,0,2,2,0,0,5
"31",0,15,2,2,0,0,0
"32",0,45,2,2,0,0,0
"33",10,120,1,2,1,4,0
"34",2,25,1,2,1,4,0
"35",0,15,2,2,0,0,0
"36",0,15,2,2,0,0,0
"37",0,30,2,2,0,0,0
"38",0,20,2,2,0,0,0
"39",0,15,2,2,0,0,0
"40",0,0,2,2,0,0,3
"41",0,0,2,2,0,0,1
"42",0,20,2,2,0,0,0
"43",0,20,2,2,0,0,0
"44",0,20,2,2,0,0,0
"45",0,0,2,2,0,0,3
"46",0,15,2,2,0,0,0
"47",0,0,2,2,0,0,3
"48",0,0,0,0,0,0,0
"49",0,25,2,2,0,0,0
"50",1,15,1,2,1,4,0
"51",3,60,1,1,1,4,0
"52",0,20,2,2,0,0,0
"53",0,60,2,2,0,0,0
"54",0,20,2,1,0,0,0
"55",2,25,1,2,1,4,0
"56",5,30,1,2,1,4,0
"57",1,30,1,2,2,4,0
"58",3,30,1,2,1,4,0
"59",0,0,2,2,0,0,1
"60",0,0,2,2,0,0,3
"61",0,10,2,2,0,0,0
"62",0,0,2,2,0,0,3
"63",2,60,1,2,1,2,0
"64",2,15,1,1,2,4,0
"65",20,90,1,2,1,3,0
"66",2,40,1,2,2,3,0
"67",3,30,1,2,2,4,0
"68",0,0,2,2,0,0,6
"69",0,7,2,2,0,0,0
"70",1,20,1,2,2,2,0
"71",8,30,1,2,2,6,0
"72",17,30,1,2,2,1,0
"73",0,10,2,2,0,0,0
"74",0,0,2,2,0,0,3
"75",0,30,2,2,0,0,0
"76",3,45,1,2,2,1,0
"77",4,30,1,1,2,4,0
"78",0,15,2,2,0,0,0
"79",0,0,2,2,0,0,5
"80",10,60,1,1,2,1,0
"81",0,15,2,2,0,0,0
"82",0,0,2,2,0,0,3
"83",0,15,2,2,0,0,0
"84",0,60,2,2,0,0,0
"85",2,30,1,2,2,4,0
"86",0,30,2,2,0,0,0
"87",2,40,1,2,2,1,0
"88",0,0,2,2,0,0,5
"89",1,20,1,2,2,3,0
"90",1,20,1,2,2,5,0
"91",2,40,1,2,2,3,0
"92",0,20,2,2,0,0,0
"93",1,30,1,2,2,3,0
"94",1,50,1,2,2,3,0
"95",0,60,2,2,0,0,0
"96",2,30,1,2,2,3,0
"97",0,0,2,2,0,0,5
"98",2,60,1,2,2,2,0
"99",0,0,2,2,0,0,5
"100",2,20,1,2,2,3,0
"101",0,0,2,2,0,0,5
"102",0,15,2,2,0,0,0
"103",0,0,2,2,0,0,1
"104",3,45,1,2,2,3,0
"105",0,0,2,2,0,0,3
"106",1,35,1,2,1,2,0
"107",2,35,1,2,2,3,0
"108",4,40,1,2,2,4,0
"109",0,30,2,2,0,0,0
"110",0,40,2,2,0,0,0
"111",0,10,2,2,0,0,0
"112",2,40,1,2,2,3,0
"113",0,20,2,2,0,0,0
"114",0,20,2,2,0,0,0
"115",2,45,1,2,2,3,0
"116",0,20,2,2,0,0,0
"117",1,35,1,2,1,4,0
"118",1,40,1,2,2,3,0
"119",1,40,1,2,2,2,0
"120",0,20,2,2,0,0,0
"121",2,40,1,2,2,3,0
"122",3,45,1,2,2,1,0
"123",0,0,2,2,0,0,3
"124",0,60,2,2,0,0,0
"125",3,60,1,2,2,2,0
"126",0,30,2,2,0,0,0
"127",0,0,2,2,0,0,3
"128",0,5,2,2,0,0,0
"129",2,30,1,2,2,4,0
"130",1,30,1,2,2,1,0
"131",0,15,2,2,0,0,0
"132",3,60,1,2,2,4,0
"133",1,60,1,2,1,4,0
"134",0,20,2,2,0,0,0
"135",6,240,1,1,2,1,0
"136",3,90,1,2,1,4,0
"137",2,30,1,2,2,4,0
"138",0,60,2,2,0,0,0
"139",0,0,2,2,0,0,1
"140",5,60,1,2,2,5,0
"141",0,30,2,2,0,0,0
"142",0,30,2,2,0,0,0
"143",2,60,1,2,2,3,0
"144",8,80,1,2,2,1,0
"145",2,20,1,2,1,1,0
"146",0,0,0,0,0,0,0
"147",13,50,1,1,1,4,0
"148",0,0,2,2,0,0,3
"149",0,30,2,2,0,0,0
"150",0,15,2,2,0,0,0
"151",2,40,1,2,2,4,0
"152",0,15,2,2,0,0,0
"153",0,20,2,2,0,0,0
"154",0,60,2,2,0,0,0
"155",3,15,1,2,2,3,0
"156",12,30,1,2,1,4,0
"157",8,120,1,2,2,4,0
"158",0,0,2,2,0,0,3
"159",0,0,2,2,0,0,3
"160",0,60,2,2,0,0,0
"161",0,0,2,2,0,0,2
"162",0,15,2,2,0,0,0
"163",0,30,2,2,0,0,0
"164",0,60,2,1,0,0,0
"165",0,0,2,2,0,0,3
"166",0,10,2,2,0,0,0
"167",20,90,1,1,1,1,0
"168",1,30,1,2,2,5,0
"169",2,30,1,2,2,2,0
"170",2,20,1,2,1,4,0
"171",0,0,2,2,0,0,2
"172",3,20,1,1,2,1,0
"173",0,10,2,2,0,0,0
"174",3,10,1,2,2,4,0
"175",0,0,2,2,0,0,3
"176",0,10,2,2,0,0,0
"177",0,10,2,2,0,0,0
"178",0,10,2,2,0,0,0
"179",1,60,1,2,2,3,0
"180",2,20,1,2,2,4,0
"181",2,30,1,2,2,5,0
"182",2,30,1,2,2,3,0
"183",0,30,2,2,0,0,0
"184",0,20,2,2,0,0,0
"185",1,30,1,2,2,5,0
"186",1,30,1,2,2,5,0
"187",1,20,1,2,1,4,0
"188",0,0,2,2,0,0,3
"189",42,60,1,2,2,4,0
"190",0,10,2,2,0,0,0
"191",4,60,1,1,2,4,0
"192",0,20,2,2,0,0,0
"193",0,10,2,2,0,0,0
"194",1,15,1,2,2,4,0
"195",1,40,1,2,2,3,0
"196",0,0,2,2,0,0,3
"197",1,60,1,2,2,3,0
"198",1,60,1,1,2,4,0
"199",0,45,2,2,0,0,0
"200",2,30,1,2,1,3,0
"201",5,30,1,2,1,4,0
"202",0,60,2,2,0,0,0
"203",0,10,2,2,0,0,0
"204",0,0,0,0,0,0,0
"205",0,30,2,2,0,0,0
"206",0,0,2,2,0,0,5
"207",0,0,2,2,0,0,1
"208",1,25,1,2,2,3,0
"209",5,45,1,2,1,1,0
"210",2,60,1,2,2,4,0
"211",0,0,2,2,0,0,2
"212",2,30,1,2,2,3,0
"213",7,45,1,2,2,1,0
"214",0,0,2,2,0,0,3
"215",12,60,1,2,2,4,0
"216",0,0,2,2,0,0,2
"217",0,0,2,2,0,0,2
"218",0,0,2,2,0,0,1
"219",0,0,2,2,0,0,1
"220",0,0,2,2,0,0,5
"221",0,0,2,2,0,0,1
"222",0,0,2,2,0,0,1
"223",0,0,2,2,0,0,2
"224",0,30,2,2,0,0,0
"225",0,40,2,2,0,0,0
"226",0,0,2,2,0,0,2
"227",0,0,2,2,0,0,2
"228",15,120,1,2,2,3,0
"229",0,0,2,2,0,0,1
"230",0,60,2,2,0,0,0
"231",0,0,2,2,0,0,1
"232",4,45,1,2,2,4,0
"233",0,0,2,2,0,0,5
"234",0,0,2,2,0,0,2
"235",0,0,2,2,0,0,1
"236",25,120,1,2,1,3,0
"237",1,30,1,2,2,4,0
"238",0,30,2,2,0,0,0
"239",0,0,2,2,0,0,2
"240",0,0,2,2,0,0,2
"241",3,30,1,2,2,1,0
"242",40,30,1,2,2,5,0
"243",0,0,2,2,0,0,2
"244",0,0,2,2,0,0,5
"245",6,20,1,1,1,4,0
"246",0,30,2,2,0,0,0
"247",4,60,1,2,1,2,0
"248",1,30,1,2,2,3,0
"249",0,0,2,2,0,0,1
"250",1,120,1,2,2,5,0
"251",1,10,1,2,2,4,0
"252",0,0,2,2,0,0,3
"253",0,15,2,2,0,0,0
"254",2,20,1,2,2,3,0
"255",0,30,2,2,0,0,0
"256",1,15,1,2,2,4,0
"257",0,5,2,2,0,0,0
"258",0,10,2,2,0,0,0
"259",2,15,1,2,1,4,0
"260",0,45,2,2,0,0,0
"261",0,15,2,2,0,0,0
"262",0,0,2,2,0,0,3
"263",0,0,2,2,0,0,3
"264",0,0,2,2,0,0,1
"265",1,120,1,2,2,5,0
"266",2,60,1,2,1,1,0
"267",3,120,1,1,1,1,0
"268",3,10,1,1,2,4,0
"269",0,0,0,0,0,0,0
"270",1,60,1,2,2,3,0
"271",5,30,1,2,2,1,0
"272",0,30,2,2,0,0,0
"273",0,0,2,2,0,0,3
"274",0,10,2,2,0,0,0
